Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS)
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,pizza plate for kids,2,1,50.00%,1.19,1.19,,0.0
25-May-21,25-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,plate for kids to eat,2,1,50.00%,1.19,1.19,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,recycle plates kids,180,3,1.67%,1.51,4.52,,0.0
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,10 oz kids bowls,3,1,33.33%,1.57,1.57,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,12 oz kids bowls,5,1,20.00%,1.64,1.64,,0.0
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,14oz bowls kids,3,1,33.33%,1.59,1.59,,0.0
27-May-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bamboo bowls for kids,52,3,5.77%,1.55,4.66,,0.0
27-May-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bamboo bowls kids,568,10,1.76%,1.8,18.04,36.09%,2.77
31-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bamboo kids bowls,95,4,4.21%,1.65,6.61,26.45%,3.78
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bowl kids,8,1,12.50%,1.47,1.47,,0.0
27-May-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bowls for kids,1159,13,1.12%,1.77,23.03,23.04%,4.34
2-Jun-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bowls kids,13,1,7.69%,1.33,1.33,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,bpa free kids bowls,7,1,14.29%,2.11,2.11,,0.0
8-Jun-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,cereal bowl for kids,175,1,0.57%,1.1,1.1,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,cereal bowl kids,15,1,6.67%,1.5,1.5,,0.0
29-May-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,cereal bowls for kids,93,3,3.23%,1.53,4.6,,0.0
28-May-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,cereal bowls kids,23,3,13.04%,1.53,4.59,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,craft bowls for kids,20,1,5.00%,0.78,0.78,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,dishwasher safe kids bowls,3,1,33.33%,2.04,2.04,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,durable bowls for kids,1,1,100.00%,1.58,1.58,,0.0
8-Jun-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,green bowls for kids,1,1,100.00%,1.49,1.49,5.96%,16.77
5-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,gyro bowl - the no spill bowl for kids,15,2,13.33%,1.39,2.77,,0.0
7-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kid cereal bowl,171,1,0.58%,1.37,1.37,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kid cereal bowls,56,1,1.79%,1.58,1.58,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kid safe bowls,3,1,33.33%,1.66,1.66,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kid size bowls,160,1,0.63%,1.42,1.42,,0.0
6-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids bamboo bowls,20,2,10.00%,1.49,2.97,,0.0
7-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids bowl with lid,14,1,7.14%,1.08,1.08,,0.0
2-Jun-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids bowls dishwasher safe,11,1,9.09%,1.31,1.31,,0.0
27-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids bowls set,99,5,5.05%,1.44,7.21,14.43%,6.93
4-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids cereal bowl,28,2,7.14%,1.23,2.46,,0.0
26-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids cereal bowls,70,2,2.86%,1.56,3.11,,0.0
25-May-21,25-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids lunch bamboo bowl,1,1,100.00%,0.88,0.88,2.93%,34.08
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids lunch bowl safe,2,1,50.00%,1.12,1.12,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids lunch bowls sets for school,2,1,50.00%,1.08,1.08,,0.0
1-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids melamine bowls,349,4,1.15%,1.29,5.14,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids metal bowls,111,1,0.90%,1.09,1.09,4.36%,22.93
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids pasta bowl,8,1,12.50%,0.92,0.92,,0.0
8-Jun-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids popcorn bowls reusable,10,1,10.00%,0.86,0.86,,0.0
25-May-21,25-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids ramen bowl,566,3,0.53%,1.16,3.48,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids safe bowls,1,1,100.00%,1.57,1.57,,0.0
8-Jun-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,kids shallow pasta bowl,1,1,100.00%,1.4,1.4,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,melamine bowls kids,5,1,20.00%,1.31,1.31,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,melamine kids bowls,8,1,12.50%,1.6,1.6,6.40%,15.62
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,metal bowls for kids,241,1,0.41%,1.6,1.6,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,metal bowls with lids kids,1,1,100.00%,1.52,1.52,,0.0
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,nordic ware kids bowls,4,1,25.00%,1.17,1.17,,0.0
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,oxo kids bowls,2,1,50.00%,1.69,1.69,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,pho bowls for kids,2,1,50.00%,2.02,2.02,,0.0
