Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Jun 14, 2021","Jun 16, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B088BB23RD""",-,b088bb23rd,51,2,3.9216%,$0.47,$0.94,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 29, 2021","Jun 14, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B08531J5B3""",-,b08531j5b3,41,2,4.8780%,$1.15,$2.30,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 30, 2021","May 30, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07V59GBMY""",-,b07v59gbmy,17,1,5.8824%,$1.04,$1.04,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 16, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07KYWP2MT""",-,b07kywp2mt,3552,24,0.6757%,$0.98,$23.48,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 29, 2021","Jun 08, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B01M6B9BGE""",-,b01m6b9bge,258,6,2.3256%,$0.95,$5.71,$24.99,22.8491%,4.38,1,1,16.6667%,1,0,$24.99,$0.00
"May 28, 2021","Jun 14, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B01M8PIPIL""",-,b01m8pipil,162,3,1.8519%,$1.08,$3.25,$24.99,13.0052%,7.69,1,1,33.3333%,1,0,$24.99,$0.00
"May 25, 2021","Jun 15, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B01M9I7XHN""",-,b01m9i7xhn,407,6,1.4742%,$1.07,$6.41,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 17, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B08GP6TSG4""",-,b08gp6tsg4,1174,25,2.1295%,$0.85,$21.33,$29.99,71.1237%,1.41,1,1,4.0000%,0,1,$0.00,$29.99
"May 27, 2021","Jun 19, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B08GP9CWXR""",-,b08gp9cwxr,1548,35,2.2610%,$1.19,$41.81,$49.98,83.6535%,1.20,2,2,5.7143%,2,0,$49.98,$0.00
"May 27, 2021","Jun 17, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B08GPDXNN4""",-,b08gpdxnn4,486,11,2.2634%,$0.85,$9.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids bowls,EXACT,kids bowl,1102,10,0.9074%,$1.89,$18.94,$29.99,63.1544%,1.58,1,1,10.0000%,1,0,$29.99,$0.00
"May 25, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids bowls,EXACT,kids bowls,7708,63,0.8173%,$1.89,$118.99,$199.92,59.5188%,1.68,8,8,12.6984%,6,2,$149.94,$49.98
"May 30, 2021","Jun 05, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo plates for kids,EXACT,bamboo plate kids,45,4,8.8889%,$1.63,$6.53,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo plates for kids,EXACT,bamboo plates for kids,22006,160,0.7271%,$1.38,$221.29,"$1,314.48",16.8348%,5.94,51,52,31.8750%,34,18,$854.66,$459.82
"Jun 02, 2021","Jun 15, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo plates for kids,EXACT,bamboo plates kids,36,4,11.1111%,$2.50,$10.00,$49.98,20.0080%,5.00,2,2,50.0000%,2,0,$49.98,$0.00
"Jun 17, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids dishes,EXACT,kid dishes,117,3,2.5641%,$1.07,$3.21,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids dishes,EXACT,kids dishes,1741,35,2.0103%,$1.45,$50.85,$124.95,40.6963%,2.46,4,5,11.4286%,3,2,$74.97,$49.98
"May 31, 2021","Jun 14, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,plates for kids,EXACT,plate for kids,24,3,12.5000%,$1.28,$3.84,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,plates for kids,EXACT,plates for kids,713,17,2.3843%,$1.73,$29.47,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 31, 2021","Jun 14, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,plates for kids,EXACT,plates kids,19,3,15.7895%,$1.37,$4.10,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 28, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates,EXACT,kid plate,400,6,1.5000%,$2.02,$12.10,$24.99,48.4194%,2.07,1,1,16.6667%,1,0,$24.99,$0.00
"May 30, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates,EXACT,kid plates,2392,29,1.2124%,$1.72,$49.74,$124.95,39.8079%,2.51,5,5,17.2414%,5,0,$124.95,$0.00
"May 28, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates,EXACT,kids plate,1118,13,1.1628%,$1.83,$23.77,$24.99,95.1180%,1.05,1,1,7.6923%,1,0,$24.99,$0.00
