amazon_order_id,purchase_date,order_total,add_city,Abbrev,add_postal,add_country,number_items,total_item_quantity,Product,repeat_buyer,Month
113-7051693-8514636,2021-02-11 07:56 AM PST,37.1,HEDGESVILLE,WV,25427-7260,US,1,1,Rainforest,0.0,02
113-8939189-4108250,2021-02-11 08:09 AM PST,29.99,WINTER SPRINGS,FL,32708-5014,US,1,1,Rainforest,0.0,02
114-3957409-5385053,2021-02-11 08:15 AM PST,31.86,OXFORD,MA,01540-2402,US,1,1,Rainforest,0.0,02
113-2479005-1048208,2021-02-11 08:56 AM PST,31.89,BRANFORD,CT,06405-3347,US,1,1,Rainforest,0.0,02
112-2228011-1282621,2021-02-11 09:46 AM PST,32.01,Graham,NC,27253,US,1,1,Rainforest,0.0,02
113-6886905-7741814,2021-02-11 10:35 AM PST,29.99,APO,AE,09603-0026,US,1,1,Rainforest,0.0,02
113-6915896-3085826,2021-02-11 10:56 AM PST,65.14,SCOTTSDALE,AZ,85254-3835,US,1,2,Floral,1.0,02
113-1869960-3221828,2021-02-11 10:59 AM PST,29.99,ROCKLEDGE,FL,32955-4116,US,1,1,Floral,0.0,02
114-5026640-2371467,2021-02-11 11:02 AM PST,31.58,LYNCHBURG,VA,24504-4346,US,1,1,Floral,0.0,02
113-7723872-4364213,2021-02-11 11:47 AM PST,31.86,CAMBRIDGE,MA,02140-1007,US,1,1,Rainforest,0.0,02
112-4814109-2865007,2021-02-11 01:09 PM PST,31.79,ALEXANDRIA,VA,22315-6517,US,1,1,Rainforest,0.0,02
114-6084330-9380229,2021-02-11 02:22 PM PST,31.98,EGG HARBOR TOWNSHIP,NJ,08234-7546,US,1,1,Rainforest,0.0,02
112-8314532-4525863,2021-02-11 05:39 PM PST,32.3,BERTHOUD,CO,80513-2825,US,1,1,Rainforest,0.0,02
114-5837444-9613838,2021-02-11 06:08 PM PST,31.79,KALAMAZOO,MI,49004-3626,US,1,1,Rainforest,1.0,02
111-4715081-5295448,2021-02-11 06:21 PM PST,32.54,SAN FRANCISCO,CA,94110-3384,US,1,1,Rainforest,0.0,02
111-8074953-8604266,2021-02-11 06:26 PM PST,29.99,Taipei,Beitou,112,TW,1,1,Rainforest,0.0,02
114-1566897-4569860,2021-02-11 06:30 PM PST,32.31,San Diego,CA,92126-3632,US,1,1,Rainforest,1.0,02
113-3660326-0273010,2021-02-11 07:48 PM PST,32.72,ENID,OK,73703-8568,US,1,1,Floral,0.0,02
